转债代码,市场,转债名称,最新价,涨跌额,涨跌幅,买入价,卖出价,昨收价,开盘价,最高价,最低价,成交量(股),成交额(元),成交时间
123064,深市,万孚转债,111.3,-1.0,-0.89,111.297,111.302,112.300,112.420,112.700,110.900,515842,57689938,15:00:00
118040,沪市,宏微转债,150.103,-1.51,-0.996,150.000,150.129,151.613,151.000,152.719,148.902,379660,57224975,15:00:01
113658,沪市,密卫转债,134.443,-1.357,-0.999,134.418,134.583,135.800,135.898,136.300,134.001,422090,57034790,15:00:00
127050,深市,麒麟转债,127.311,-0.039,-0.031,127.197,127.311,127.350,127.500,128.500,126.201,438310,55874982,15:00:00
123133,深市,佩蒂转债,132.896,-0.054,-0.041,132.833,132.944,132.950,132.950,133.573,131.881,406741,54084896,15:00:00
113067,沪市,燃23转债,131.794,0.647,0.493,131.795,131.822,131.147,130.700,132.768,130.601,407980,53843397,14:59:59
128128,深市,齐翔转2,119.299,-0.381,-0.318,119.299,119.300,119.680,119.960,120.693,118.535,444778,53232973,15:00:00
123209,深市,聚隆转债,201.0,-3.215,-1.574,200.601,201.000,204.215,203.210,205.440,199.115,262610,53190610,15:00:00
123195,深市,蓝晓转02,150.511,-3.487,-2.264,150.461,150.540,153.998,153.990,153.990,149.560,345580,52527209,15:00:00
127072,深市,博实转债,140.574,-1.282,-0.904,140.420,140.574,141.856,141.320,141.939,140.175,370630,52279324,15:00:00
111015,沪市,东亚转债,136.082,-0.356,-0.261,135.970,136.155,136.438,136.200,136.754,134.740,377810,51380307,15:00:01
110098,沪市,南药转债,136.663,-0.563,-0.41,136.664,136.791,137.226,137.224,137.499,136.220,373930,51175359,15:00:01
123180,深市,浙矿转债,135.747,-0.853,-0.624,135.747,135.820,136.600,136.030,137.283,135.260,374440,51024538,15:00:00
127046,深市,百润转债,130.11,-0.03,-0.023,129.792,130.110,130.140,129.940,132.063,129.544,388578,50808513,15:00:00
113666,沪市,爱玛转债,124.862,-0.468,-0.373,124.779,124.938,125.330,125.438,125.537,124.607,405410,50657596,15:00:01
111002,沪市,特纸转债,140.025,-1.261,-0.893,139.848,140.022,141.286,141.510,141.740,139.000,359960,50493306,15:00:01
123194,深市,百洋转债,134.193,0.261,0.195,134.193,134.195,133.932,133.900,134.888,133.183,375620,50393799,15:00:00
113656,沪市,嘉诚转债,128.521,-0.254,-0.197,128.550,128.584,128.775,128.770,129.413,128.213,389750,50192808,15:00:00
110100,沪市,龙建转债,133.993,-3.026,-2.208,133.990,133.999,137.019,137.010,137.250,133.610,371000,50110640,15:00:00
113665,沪市,汇通转债,134.51,-0.839,-0.62,134.283,134.663,135.349,134.540,135.250,133.636,369770,49674186,15:00:00
113693,沪市,志邦转债,128.087,-1.503,-1.16,128.112,128.184,129.590,129.200,130.198,128.000,380850,49064576,15:00:00
127054,深市,双箭转债,131.098,-0.544,-0.413,131.098,131.114,131.642,131.830,131.830,130.100,373541,48858533,15:00:00
111020,沪市,合顺转债,145.48,-0.404,-0.277,145.348,145.713,145.884,145.884,147.042,145.000,334340,48743524,15:00:00
127111,深市,金威转债,134.198,-0.171,-0.127,134.080,134.199,134.369,133.800,135.354,133.499,361344,48528275,15:00:00
123264,深市,双乐转债,138.53,1.272,0.927,138.530,138.543,137.258,137.350,139.909,136.472,336794,46572969,15:00:00
123122,深市,富瀚转债,129.52,-0.368,-0.283,129.520,129.550,129.888,130.800,130.800,129.316,357720,46492040,15:00:00
123237,深市,佳禾转债,145.0,0.053,0.037,144.900,145.000,144.947,144.628,145.998,143.325,313753,45489287,15:00:00
127031,深市,洋丰转债,128.742,-1.258,-0.968,128.733,128.742,130.000,130.100,130.780,128.302,347507,45020464,15:00:00
127083,深市,山路转债,122.63,-0.58,-0.471,122.629,122.630,123.210,123.201,123.851,122.307,365469,45013930,15:00:00
123061,深市,航新转债,130.95,-1.74,-1.311,130.918,130.950,132.690,132.440,132.890,130.200,338538,44498499,15:00:00
113070,沪市,渝水转债,128.812,-0.148,-0.115,128.800,128.912,128.960,128.702,129.480,128.410,344700,44418850,15:00:01
123113,深市,仙乐转债,117.5,-0.438,-0.371,117.479,117.500,117.938,118.115,119.133,117.250,371914,44000396,15:00:00
123150,深市,九强转债,137.657,-0.869,-0.627,137.655,137.657,138.526,138.836,138.921,137.261,318332,43974242,15:00:00
113692,沪市,保隆转债,134.078,-0.782,-0.58,134.044,134.163,134.860,134.500,135.850,134.017,325400,43876318,15:00:00
128127,深市,文科转债,114.34,0.332,0.291,114.300,114.340,114.008,113.802,114.660,113.661,380887,43497648,15:00:00
110097,沪市,天润转债,143.458,-0.343,-0.239,143.046,143.288,143.801,143.850,144.064,142.540,302530,43333421,15:00:01
113624,沪市,正川转债,134.125,-0.354,-0.263,134.125,134.316,134.479,134.508,135.390,133.661,321880,43274100,15:00:01
113674,沪市,华设转债,135.201,0.059,0.044,135.114,135.607,135.142,135.142,136.461,134.663,316730,42968031,15:00:01
127102,深市,浙建转债,128.064,-0.436,-0.339,128.017,128.064,128.500,128.620,129.173,127.627,333333,42812004,15:00:00
113631,沪市,皖天转债,139.951,-0.098,-0.07,139.883,140.036,140.049,139.830,141.019,139.401,301050,42254192,14:59:59
123173,深市,恒锋转债,136.988,0.988,0.726,136.868,136.988,136.000,135.789,137.644,134.800,307162,41863878,15:00:00
123071,深市,天能转债,117.91,-0.046,-0.039,117.910,117.923,117.956,117.400,118.760,117.400,352939,41674380,15:00:00
113694,沪市,清源转债,136.927,-1.225,-0.887,136.849,137.037,138.152,138.290,138.953,136.676,299730,41302858,15:00:00
123165,深市,回天转债,132.91,-1.297,-0.966,132.831,132.910,134.207,134.070,134.756,132.510,306964,40997866,15:00:00
110077,沪市,洪城转债,218.543,-0.42,-0.192,219.000,219.063,218.963,219.999,221.601,218.091,185730,40829962,15:00:00
127085,深市,韵达转债,124.1,-0.248,-0.199,124.100,124.198,124.348,124.385,125.183,123.705,322442,40134488,15:00:00
113648,沪市,巨星转债,125.375,-1.167,-0.922,125.339,125.488,126.542,126.542,126.542,125.200,318520,40083210,15:00:00
110076,沪市,华海转债,124.494,-0.806,-0.643,124.268,124.494,125.300,125.448,126.026,124.150,320110,40076098,15:00:00
123171,深市,共同转债,138.7,-0.025,-0.018,138.696,138.700,138.725,138.461,140.319,137.679,282340,39297180,15:00:00
127099,深市,盛航转债,135.975,0.483,0.356,135.974,135.975,135.492,135.684,136.722,134.840,284690,38656353,15:00:00
111009,沪市,盛泰转债,129.879,-0.348,-0.267,129.682,129.898,130.227,130.000,130.988,129.434,296240,38567097,15:00:01
111017,沪市,蓝天转债,129.51,-0.394,-0.303,129.425,129.547,129.904,129.899,130.094,129.108,296860,38475167,15:00:01
123117,深市,健帆转债,120.1,-1.029,-0.85,120.058,120.100,121.129,121.363,121.363,119.520,315973,38092424,15:00:00
123157,深市,科蓝转债,128.122,-1.753,-1.35,128.106,128.122,129.875,130.000,130.554,127.250,289897,37252874,15:00:00
123193,深市,海能转债,130.607,0.244,0.187,130.606,130.607,130.363,130.916,131.483,129.572,282903,36965121,15:00:00
128125,深市,华阳转债,114.928,-0.062,-0.054,114.928,114.929,114.990,114.861,115.356,114.461,303650,34893608,15:00:00
118037,沪市,上声转债,138.426,1.2,0.874,137.952,138.608,137.226,138.000,138.798,136.517,251660,34749881,15:00:00
113059,沪市,福莱转债,123.895,-0.139,-0.112,123.849,123.998,124.034,124.000,124.798,123.518,276990,34373076,15:00:01
123059,深市,银信转债,130.89,1.436,1.109,130.890,130.892,129.454,130.259,131.579,129.000,260920,34125451,15:00:00
